,household,scenario,absolute poverty,relative poverty,year,minwage
416,Ühe lapsega paar,Ennustatud,0,7.34,2018,530
417,Kahe lapsega paar,Tegelik,0,9.74,2018,530
418,Kahe lapsega paar,Ennustatud,0,9.26,2018,530
419,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,530
420,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,530
421,Üksik mees,Tegelik,6.42,33.62,2018,531
422,Üksik mees,Ennustatud,6.42,32.75,2018,531
423,Üksik naine,Tegelik,2.16,22.68,2018,531
424,Üksik naine,Ennustatud,2.16,20.93,2018,531
425,Üksikvanem,Tegelik,0.19,30.12,2018,531
426,Üksikvanem,Ennustatud,0.19,31.24,2018,531
427,Lasteta paar,Tegelik,0.63,9.31,2018,531
428,Lasteta paar,Ennustatud,0.63,9.57,2018,531
429,Ühe lapsega paar,Tegelik,0,7.35,2018,531
430,Ühe lapsega paar,Ennustatud,0,7.34,2018,531
431,Kahe lapsega paar,Tegelik,0,9.74,2018,531
432,Kahe lapsega paar,Ennustatud,0,9.26,2018,531
433,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,531
434,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,531
435,Üksik mees,Tegelik,6.42,33.62,2018,532
436,Üksik mees,Ennustatud,6.42,32.75,2018,532
437,Üksik naine,Tegelik,2.16,22.68,2018,532
438,Üksik naine,Ennustatud,2.16,20.93,2018,532
439,Üksikvanem,Tegelik,0.19,30.12,2018,532
440,Üksikvanem,Ennustatud,0.19,31.24,2018,532
441,Lasteta paar,Tegelik,0.63,9.31,2018,532
442,Lasteta paar,Ennustatud,0.63,9.57,2018,532
443,Ühe lapsega paar,Tegelik,0,7.35,2018,532
444,Ühe lapsega paar,Ennustatud,0,7.34,2018,532
445,Kahe lapsega paar,Tegelik,0,9.74,2018,532
446,Kahe lapsega paar,Ennustatud,0,9.26,2018,532
447,Kolme ja enama lapsega paar,Tegelik,0,7.35,2018,532
448,Kolme ja enama lapsega paar,Ennustatud,0,7.35,2018,532
449,Üksik mees,Tegelik,6.42,33.62,2018,533
450,Üksik mees,Ennustatud,6.42,32.75,2018,533
451,Üksik naine,Tegelik,2.16,22.68,2018,533
452,Üksik naine,Ennustatud,2.16,20.93,2018,533
453,Üksikvanem,Tegelik,0.19,30.12,2018,533
454,Üksikvanem,Ennustatud,0.19,31.24,2018,533
455,Lasteta paar,Tegelik,0.63,9.31,2018,533
